id_person,Culture,Location,n_recordings,f0_mean_hz,f0_sd_hz,f1_mean_hz,f2_mean_hz,f3_mean_hz,f4_mean_hz,vtl_proxy_hz
11,Urban Beijing,China,1,211.4620574,45.03012185,668.112,1863.374,3153.821,4056.656,1997.7384637969124
11,Urban San Diego,USA,1,303.6326241,85.5510951,604.708,1850.557,2939.57,4045.874,1910.0119533302568
11,Urban Toronto,Canada,1,354.8722599,70.45404203,674.842,2017.298,3030.886,4163.15,2035.8274019487712
12,Afr-Colombians,Colombia,1,298.7310909,42.45453872,674.534,2020.376,2747.052,3906.374,1955.55118081288
12,Arawak,Guyana,1,274.9970408,63.30820909,591.952,1964.12,3029.903,4175.291,1958.3598474991281
12,Jenu Kurubas,India,1,322.5862193,116.2778734,766.788,1727.64,2835.626,3941.491,1961.5957497726731
12,Mbendjele,Republic of Congo,1,291.7678613,54.28138627,509.399,1726.393,3022.169,4036.135,1809.7581714668584
12,Nyangatom,Ethiopia,1,261.2159487,45.16805159,621.505,1680.314,2899.495,3936.25,1858.061256234361
12,Quechua,Peru,1,212.4315217,21.54796407,476.844,1878.45,2943.746,3795.634,1778.6486053295737
12,Rural Southern Poland,Poland,1,293.5729603,61.88160375,572.877,1837.522,3031.495,4056.198,1896.7822818820605
12,Sapara & Achuar,Ecuador,1,220.7286179,74.91119137,620.107,1700.106,2932.166,4055.862,1881.7138840356927
12,Toposa,Ethiopia,1,249.3508491,39.45277559,581.147,1939.848,2941.93,3823.307,1887.0408517916917
12,Tsimane,Bolivia,1,166.0344727,32.47079693,557.845,1914.446,3093.698,4191.57,1929.091495417948
12,Turku,Sweden,1,231.3173307,58.92498404,610.466,1909.626,2869.172,3964.971,1908.3217482142509
12,Urban San Diego,USA,1,205.5759036,45.28618378,597.306,1955.588,2956.339,4142.882,1944.8349895692356
12,Urban Toronto,Canada,1,295.1779325,85.41154731,642.486,1798.358,3014.306,3774.205,1904.0930194788496
12,Urban Wellington,New Zealand,1,267.7500493,104.9843335,605.806,1882.189,2999.949,4012.271,1924.7540092667646
12,Vanuatu,Vanuatu,1,177.807893,45.98789994,583.381,1853.609,3071.593,4081.294,1918.8144926055568
13,Afr-Colombians,Colombia,1,207.9823404,39.47904735,572.629,1741.291,2772.76,3893.772,1811.3687583831556
13,Jenu Kurubas,India,1,334.9792308,96.13015257,591.969,1815.156,3011.991,4012.916,1898.3735082618887
13,Mbendjele,Republic of Congo,1,300.1604741,70.67558098,644.693,1754.733,3064.854,4143.451,1946.8567584919706
13,Mentawai Islanders,Sumatra,1,209.1467391,44.76544777,708.682,1968.987,2703.471,3741.678,1938.2982075814566
13,Nyangatom,Ethiopia,1,251.4764516,38.55697284,633.972,1827.028,2974.316,3996.503,1926.2853990788728
13,Quechua,Peru,1,NA,NA,672.272,2143.529,3296.767,4322.544,2128.754190935737
13,Rural Southern Poland,Poland,1,280.36419,85.22616309,520.952,1711.049,2863.885,4026.38,1790.5342090910628
13,Sapara & Achuar,Ecuador,1,157.9660269,31.69361141,569.971,1989.556,3002.901,4182.847,1942.698837279631
13,Toposa,Ethiopia,1,250.0398397,98.11937101,650.18,1909.96,2985.471,4155.581,1981.1876940885825
13,Urban Beijing,China,1,236.3881618,44.72456798,647.163,1726.007,3024.094,4013.732,1918.8895264801533
13,Urban San Diego,USA,1,327.1133333,111.5637687,738.241,1974.116,3012.057,4115.427,2061.637141028201
13,Urban Toronto,Canada,1,332.6275862,112.3433308,796.199,1943.319,3151.437,4161.662,2122.4393545867524
13,Urban Wellington,New Zealand,1,325.4112136,93.92051053,776.873,1989.828,3113.013,3906.899,2082.306577874165
13,Vanuatu,Vanuatu,1,213.7368605,24.43001367,646.711,1740.835,3055.1,3778.274,1898.6577415659253
14,Jenu Kurubas,India,1,287.6198824,38.84519565,566.536,1824.026,2834.948,3916.415,1840.4460224033478
14,Nyangatom,Ethiopia,1,249.3893981,47.5364173,609.999,1714.814,2958.852,3874.375,1860.8773933885618
14,Quechua,Peru,1,285.3571154,166.028585,619.543,2080.881,3092.397,4364.556,2042.389189958456
14,Sapara & Achuar,Ecuador,1,193.3435507,21.26770558,501.567,2030.368,3096.623,4344.494,1923.901410152752
14,Toposa,Ethiopia,1,227.9257093,53.4003888,660.14,1930.381,2896.268,4004.882,1960.7710603658256
14,Turku,Sweden,1,225.4409827,64.06846298,499.036,1858.244,2967.687,4072.886,1829.7372983006392
14,Urban Beijing,China,1,285.8855729,44.31213568,588.903,1552.983,2846.907,3863.364,1780.891021205195
14,Urban San Diego,USA,1,308.653545,113.9598972,775.13,1855.426,2972.909,4035.515,2038.0962569360865
14,Urban Toronto,Canada,1,323.7689427,107.5364737,621.829,1848.631,2776.315,3842.781,1871.3666884975034
14,Urban Wellington,New Zealand,1,267.8156481,91.44384828,666.184,2003.122,3002.791,4059.374,2008.2669561777166
14,Vanuatu,Vanuatu,1,299.0340832,51.01695216,580.256,1658.001,2940.781,4097.815,1845.2485167992572
15,Jenu Kurubas,India,1,245.3746063,36.16735165,675.616,1966.03,3094.784,3884.813,1999.0452827600761
15,Mbendjele,Republic of Congo,1,241.6163221,34.75564137,472.531,1730.738,2815.19,4100.22,1752.8474708010258
15,Sapara & Achuar,Ecuador,1,189.647936,70.9201726,617.254,1980.973,3145.187,4251.5,2010.8643798414
15,Toposa,Ethiopia,1,328.128543,68.51152365,681.005,1961.6,3061.613,3972.69,2007.7005176397254
15,Turku,Finland,1,274.0213333,80.14102302,713.574,2064.284,3038.196,4090.239,2068.441460103737
15,Urban Beijing,China,1,360.9222838,120.80594,594.144,1407.181,2835.752,3894.55,1743.178265334665
15,Urban San Diego,USA,1,165.8103333,37.08982597,574.113,1843.752,2922.523,4016.885,1877.5296554619315
